Date,Date Processed,Description,Amount
22/01/2026,23/01/2026,BOTTEGA GELATERIA       Prospect,11.04
22/01/2026,23/01/2026,MURUGAN IDLI SHOP       WOODVILLE,78.78
22/01/2026,23/01/2026,SENTHIL GANESH PTY LT 2 HALLAM,1.80
20/01/2026,21/01/2026,ADE050 S808711          Adelaide,13.00
20/01/2026,20/01/2026,HOMEBOY CO PTY LTD      Adelaide,5.59
15/01/2026,16/01/2026,ADE050 S808711          Adelaide,13.00
15/01/2026,16/01/2026,ALLIANZ INSURANCE ABS   SYDNEY,33.03
15/01/2026,15/01/2026,ZAMBRERO SA PTY LTD ZAM ADELAIDE,14.50
14/01/2026,15/01/2026,CHEFS OF TANDOORI PTY L MALVERN,69.29
13/01/2026,13/01/2026,HOMEBOY CO PTY LTD      Adelaide,5.59
13/01/2026,14/01/2026,IRE* IREPROFILE         MILTON,19.00
13/01/2026,14/01/2026,MR. CHAIWALA            Hindmarsh,7.12
12/01/2026,12/01/2026,AMAZON MARKETPLACE AU   SYDNEY,33.94
12/01/2026,12/01/2026,OFFICEWORKS PROSPECT 50 PROSPECT,7.94
12/01/2026,12/01/2026,ROMEO FOODLAND RUNDLE M ADELAIDE,4.00
12/01/2026,12/01/2026,ZIPPYS CAR WASH         PROSPECT,5.20
11/01/2026,12/01/2026,ADE050 S808711          Adelaide,13.00
11/01/2026,11/01/2026,BRUMBYS - NORTH PERTH   PROSPECT,7.58
11/01/2026,12/01/2026,KFC PROSPECT            PROSPECT,15.25
09/01/2026,09/01/2026,ABANG ABANG             Adelaide,25.15
09/01/2026,09/01/2026,UNIQLO AUSTRALIA PTY LT MELBOURNE,119.50
07/01/2026,07/01/2026,NANDO'S AUSTRALIA PTY L ABBOTSFORD,27.40
06/01/2026,07/01/2026,DD *DOORDASH NANDOS     MELBOURNE,29.65
06/01/2026,07/01/2026,PRICELINE PHARMACY GREE GREENACRES,30.99
06/01/2026,07/01/2026,TOTAL GP CARE NORWOOD 1 NORWOOD,9.00
04/01/2026,05/01/2026,DD *DOORDASH NANDOS     MELBOURNE,42.51
02/01/2026,03/01/2026,COLES NORTH PARK 471    PROSPECT,11.40
