Date,Amount,Details,Predicted_Label,Similarity,Top3
17/09/2025,-21.52,super indian grocery      kilburn,Groceries,0.4615872,"Groceries:0.46, Shopping & Retail:0.33, Dining & Food:0.31"
17/09/2025,-3.6,brumbys north park        prospect,Other,0.2534067,"Home & Hardware:0.25, Groceries:0.24, Travel & Accommodation:0.21"
17/09/2025,-70.0,basilico cafe             prospect,Dining & Food,0.40443644,"Dining & Food:0.40, Travel & Accommodation:0.26, Groceries:0.23"
16/09/2025,-57.59,mr cheese churchill       kilburn,Other,0.11426942,"Dining & Food:0.11, Medical & Pharmacy:0.09, Groceries:0.09"
16/09/2025,-36.34,coles 0471                prospect,Other,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07"
15/09/2025,-55.0,reward program fee,Other,0.25377077,"Donations & Charity:0.25, Banking & Transfers:0.24, Education & Learning:0.20"
15/09/2025,-94.0,annual fee,Banking & Transfers,0.34696138,"Banking & Transfers:0.35, Government & Fees:0.28, Education & Learning:0.23"
15/09/2025,-4.5,university of adelaide    adelaide,Education & Learning,0.32369322,"Education & Learning:0.32, Medical & Pharmacy:0.20, Groceries:0.14"
15/09/2025,-29.9,lebara recharge           north sydney,Other,0.22950971,"Groceries:0.23, Utilities & Bills:0.21, Travel & Accommodation:0.19"
15/09/2025,-19.09,sq *abang abang           adelaide,Other,0.16671744,"Government & Fees:0.17, Utilities & Bills:0.16, Groceries:0.16"
15/09/2025,-66.95,woolworths/7 grassmere rd prospect,Groceries,0.33039558,"Groceries:0.33, Home & Hardware:0.24, Travel & Accommodation:0.19"
15/09/2025,-15.0,woolworths/7 grassmere rd prospect,Groceries,0.33039558,"Groceries:0.33, Home & Hardware:0.24, Travel & Accommodation:0.19"
15/09/2025,-110.0,ezi*premier tax & book    adelaide,Government & Fees,0.30649495,"Government & Fees:0.31, Insurance & Healthcare:0.28, Banking & Transfers:0.25"
15/09/2025,-16.0,dosai                     adelaide,Other,0.1553854,"Groceries:0.16, Dining & Food:0.16, Government & Fees:0.15"
15/09/2025,-49.96,sq *brota the parotta kad blair athol,Other,0.13876593,"Transport & Travel:0.14, Insurance & Healthcare:0.14, Dining & Food:0.12"
15/09/2025,-14.64,sq *lemongrass vietnamese prospect,Other,0.10785349,"Groceries:0.11, Travel & Accommodation:0.10, Donations & Charity:0.10"
15/09/2025,-27.07,uber *eats help.uber.com  sydney,Transport & Travel,0.43966806,"Transport & Travel:0.44, Travel & Accommodation:0.29, Groceries:0.28"
12/09/2025,-13.0,wilson parking adeobs     adelaide,Other,0.19602597,"Transport & Travel:0.20, Travel & Accommodation:0.15, Government & Fees:0.15"
12/09/2025,-13.0,wilson parking adeobs     adelaide,Other,0.19602597,"Transport & Travel:0.20, Travel & Accommodation:0.15, Government & Fees:0.15"
12/09/2025,-10.99,chemist warehouse         adelaide,Medical & Pharmacy,0.41972822,"Medical & Pharmacy:0.42, Shopping & Retail:0.41, Groceries:0.36"
11/09/2025,-15.15,target 5009               adelaide,Shopping & Retail,0.30895582,"Shopping & Retail:0.31, Groceries:0.24, Insurance & Healthcare:0.17"
10/09/2025,-18.1,coles 0471                prospect,Other,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07"
10/09/2025,-92.09,otr angle park            angle park,Other,0.18499526,"Home & Hardware:0.18, Travel & Accommodation:0.15, Dining & Food:0.15"
10/09/2025,-45.4,aldi stores               prospect,Groceries,0.5039382,"Groceries:0.50, Shopping & Retail:0.46, Travel & Accommodation:0.32"
10/09/2025,-3.6,brumbys north park        prospect,Other,0.2534067,"Home & Hardware:0.25, Groceries:0.24, Travel & Accommodation:0.21"
10/09/2025,-4.99,bp x con prospect 1239    prospect,Other,0.16493875,"Banking & Transfers:0.16, Insurance & Healthcare:0.14, Travel & Accommodation:0.12"
09/09/2025,-12.4,coles 0439                salisbury dns,Other,0.17300987,"Government & Fees:0.17, Utilities & Bills:0.14, Groceries:0.13"
09/09/2025,-23.0,adelaide airport limited  adeladie,Other,0.23936434,"Transport & Travel:0.24, Travel & Accommodation:0.24, Government & Fees:0.17"
09/09/2025,-3.25,best indian supermar      salisbury,Other,0.123199165,"Groceries:0.12, Shopping & Retail:0.10, Insurance & Healthcare:0.06"
08/09/2025,-20.0,bws liquor/john st        salisbury,Other,0.13626145,"Insurance & Healthcare:0.14, Auto & Fuel:0.12, Medical & Pharmacy:0.12"
08/09/2025,-0.98,officeworks 0503 prosp    prospect,Other,0.2514383,"Shopping & Retail:0.25, Home & Hardware:0.22, Insurance & Healthcare:0.15"
08/09/2025,-16.0,guzman y gomez green      greenacres,Other,0.1255775,"Groceries:0.13, Insurance & Healthcare:0.12, Dining & Food:0.12"
08/09/2025,-43.87,coles 0471                prospect,Other,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07"
08/09/2025,-6.0,morphett vale laundret    osborne park,Other,0.17086044,"Home & Hardware:0.17, Groceries:0.15, Travel & Accommodation:0.14"
08/09/2025,-59.39,uber *eats help.uber.com  sydney,Transport & Travel,0.43966806,"Transport & Travel:0.44, Travel & Accommodation:0.29, Groceries:0.28"
