,Date,Amount,Details,text,label
32,13/10/2025,-12.6,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
33,13/10/2025,-13.3,COLES 0471                PROSPECT,COLES 0471 PROSPECT,Groceries
34,13/10/2025,-11.0,STAR CHEMIST NORTHPARK    SEFTON PARK,STAR CHEMIST NORTHPARK SEFTON PARK,Insurance & Healthcare
35,13/10/2025,-32.18,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
36,10/10/2025,-3.3,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
37,10/10/2025,-33.84,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
38,09/10/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
39,08/10/2025,900.0,PAYMENT THANKYOU 398524,PAYMENT THANKYOU 398524,Banking & Transfers
40,08/10/2025,-5.51,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
41,06/10/2025,-268.5,SQ *LIVEFAST CAFE         Halls Gap,SQ *LIVEFAST CAFE Halls Gap,Dining & Food
42,06/10/2025,-6.0,MORPHETT VALE LAUNDRET    OSBORNE PARK,MORPHETT VALE LAUNDRET OSBORNE PARK,Shopping & Retail
43,06/10/2025,-4.05,BAKERY ON O'CONNELL-      NORTH ADELAID,BAKERY ON O'CONNELL- NORTH ADELAID,Dining & Food
44,06/10/2025,-12.48,AFTERPAY                  AFTERPAY.COM,AFTERPAY AFTERPAY.COM,Other
45,03/10/2025,-11.04,SQ *BOTTEGA GELATERIA     Prospect,SQ *BOTTEGA GELATERIA Prospect,Dining & Food
46,03/10/2025,-62.01,CHATKAZZ LIGHTSVIEW       Lightsview,CHATKAZZ LIGHTSVIEW Lightsview,Dining & Food
47,03/10/2025,-8.0,WILSON PARKING ADEOBS     ADELAIDE,WILSON PARKING ADEOBS ADELAIDE,Transport & Travel
48,03/10/2025,-6.99,RUNDLE MALL FOODLAND      ADELAIDE,RUNDLE MALL FOODLAND ADELAIDE,Groceries
49,02/10/2025,-17.67,WOOLWORTHS/7 GRASSMERE RD PROSPECT,WOOLWORTHS/7 GRASSMERE RD PROSPECT,Groceries
50,02/10/2025,-23.01,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
51,01/10/2025,98.0,OFFICEWORKS 0503          NAILSWORTH,OFFICEWORKS 0503 NAILSWORTH,Shopping & Retail
52,01/10/2025,-5.68,SQ *CHAIOZ                North Adelaid,SQ *CHAIOZ North Adelaid,Dining & Food
53,01/10/2025,-10.0,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD ADELAIDE,Dining & Food
54,01/10/2025,-34.84,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
55,01/10/2025,-241.93,SMP*MOONGARDEN PIZZA B0   12WILLUNGA,SMP*MOONGARDEN PIZZA B0 12WILLUNGA,Dining & Food
56,30/09/2025,-98.0,OFFICEWORKS 0503          NAILSWORTH,OFFICEWORKS 0503 NAILSWORTH,Shopping & Retail
57,29/09/2025,-5.86,CHATKAZZ LIGHTSVIEW       Lightsview,CHATKAZZ LIGHTSVIEW Lightsview,Dining & Food
58,29/09/2025,-16.51,CHATKAZZ LIGHTSVIEW       Lightsview,CHATKAZZ LIGHTSVIEW Lightsview,Dining & Food
59,29/09/2025,-63.27,UNITED RICHMOND           RICHMOND,UNITED RICHMOND RICHMOND,Other
60,29/09/2025,-14.57,BAKERY ON O'CONNELL-      NORTH ADELAID,BAKERY ON O'CONNELL- NORTH ADELAID,Dining & Food
61,29/09/2025,-19.0,JB HI FI ADELAIDE CI      ADELAIDE,JB HI FI ADELAIDE CI ADELAIDE,Shopping & Retail
62,29/09/2025,-71.66,CULINARY ESCAPADES PTY LT CAMPBELLTOWN,CULINARY ESCAPADES PTY LT CAMPBELLTOWN,Dining & Food
63,29/09/2025,-10.0,ZAMBRERO SA PTY LTD       ADELAIDE,ZAMBRERO SA PTY LTD ADELAIDE,Dining & Food
64,29/09/2025,-23.69,ALDI STORES               PROSPECT,ALDI STORES PROSPECT,Groceries
65,26/09/2025,-5.68,SQ *CHAIOZ                North Adelaid,SQ *CHAIOZ North Adelaid,Dining & Food
66,26/09/2025,-29.59,COLES 4948                GREENACRES,COLES 4948 GREENACRES,Groceries
67,26/09/2025,-9.99,RUNDLE MALL FOODLAND      ADELAIDE,RUNDLE MALL FOODLAND ADELAIDE,Groceries
68,25/09/2025,-35.0,RETAILORS OPS PTY LTD     ADELAIDE,RETAILORS OPS PTY LTD ADELAIDE,Other
69,25/09/2025,-1.29,POST ADELAIDE UNIVERSI    ADELAIDE,POST ADELAIDE UNIVERSI ADELAIDE,Other
70,24/09/2025,-5.59,SQ *HOMEBOY CO PTY LTD    Adelaide,SQ *HOMEBOY CO PTY LTD Adelaide,Dining & Food
71,24/09/2025,-60.6,LUCIA S PIZZA AND SP      ADELAIDE,LUCIA S PIZZA AND SP ADELAIDE,Dining & Food
72,24/09/2025,-3.2,ASIAN GOURMET RST PL      ADELAIDE,ASIAN GOURMET RST PL ADELAIDE,Other
73,24/09/2025,-9.9,CHARLESWORTH NUTS PT      ADELAIDE,CHARLESWORTH NUTS PT ADELAIDE,Other
74,23/09/2025,-134.29,COLES 0471                PROSPECT,COLES 0471 PROSPECT,Groceries
75,23/09/2025,-18.03,SQ *BOTTEGA GELATERIA     Prospect,SQ *BOTTEGA GELATERIA Prospect,Dining & Food
76,23/09/2025,-6.0,MORPHETT VALE LAUNDRET    OSBORNE PARK,MORPHETT VALE LAUNDRET OSBORNE PARK,Shopping & Retail
77,23/09/2025,-7.0,UPARK CITY OF ADL         ADELAIDE,UPARK CITY OF ADL ADELAIDE,Transport & Travel
