Date,Amount,Details,text,label,Predicted_Label,Similarity,Top3,Similarity_Score
24/09/2025,-3.2,asian gourmet rst pl      adelaide,asian gourmet rst pl      adelaide,Other,Groceries,0.30966794,"Groceries:0.31, Home & Hardware:0.25, Insurance & Healthcare:0.24",0.0
24/09/2025,-9.9,charlesworth nuts pt      adelaide,charlesworth nuts pt      adelaide,Other,Groceries,0.2548872,"Groceries:0.25, Shopping & Retail:0.15, Home & Hardware:0.15",0.0
23/09/2025,-134.29,coles 0471                prospect,coles 0471                prospect,Groceries,Groceries,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07",0.10988130386496864
23/09/2025,-18.03,sq *bottega gelateria     prospect,sq  bottega gelateria     prospect,Dining & Food,Dining & Food,0.14640796,"Groceries:0.15, Dining & Food:0.14, Home & Hardware:0.13",0.05238141979684179
23/09/2025,-6.0,morphett vale laundret    osborne park,morphett vale laundret    osborne park,Shopping & Retail,Shopping & Retail,0.17086044,"Home & Hardware:0.17, Groceries:0.15, Travel & Accommodation:0.14",0.04862511614733081
23/09/2025,-7.0,upark city of adl         adelaide,upark city of adl         adelaide,Transport & Travel,Transport & Travel,0.21228777,"Groceries:0.21, Government & Fees:0.19, Travel & Accommodation:0.18",0.08060513507489618
22/09/2025,-28.35,cafe brunelli             adelaide,cafe brunelli             adelaide,Dining & Food,Dining & Food,0.3402961,"Dining & Food:0.34, Groceries:0.32, Travel & Accommodation:0.23",0.056449252632046185
22/09/2025,-6.6,cafe brunelli             adelaide,cafe brunelli             adelaide,Dining & Food,Dining & Food,0.3402961,"Dining & Food:0.34, Groceries:0.32, Travel & Accommodation:0.23",0.056449252632046185
22/09/2025,-53.73,uber *eats help.uber.com  sydney,uber  eats help uber com  sydney,Transport & Travel,Dining & Food,0.43966806,"Transport & Travel:0.44, Travel & Accommodation:0.29, Groceries:0.28",0.13385658678843196
22/09/2025,-10.36,boost juice myer cent     adelaide,boost juice myer cent     adelaide,Shopping & Retail,Shopping & Retail,0.21909183,"Groceries:0.22, Banking & Transfers:0.17, Auto & Fuel:0.14",0.052666394394305004
22/09/2025,-8.84,rundle mall foodland      adelaide,rundle mall foodland      adelaide,Groceries,Groceries,0.45674497,"Groceries:0.46, Shopping & Retail:0.34, Home & Hardware:0.27",0.11708702689886949
22/09/2025,-12.49,pline ph greenacres       greenacres,pline ph greenacres       greenacres,Other,Groceries,0.14841619,"Medical & Pharmacy:0.15, Shopping & Retail:0.11, Groceries:0.09",0.0
22/09/2025,-2.6,adelaide metro tap        adelaide,adelaide metro tap        adelaide,Transport & Travel,Transport & Travel,0.19896315,"Government & Fees:0.20, Utilities & Bills:0.19, Home & Hardware:0.15",0.0782059630397491
19/09/2025,-4.55,adelaide metro tap        adelaide,adelaide metro tap        adelaide,Transport & Travel,Transport & Travel,0.19896315,"Government & Fees:0.20, Utilities & Bills:0.19, Home & Hardware:0.15",0.0782059630397491
18/09/2025,903.32,payment thankyou 885300,payment thankyou 885300,Banking & Transfers,Banking & Transfers,0.27978858,"Banking & Transfers:0.28, Education & Learning:0.18, Insurance & Healthcare:0.17",0.09165232083234323
18/09/2025,90.0,payment thankyou 887268,payment thankyou 887268,Banking & Transfers,Banking & Transfers,0.25084856,"Banking & Transfers:0.25, Education & Learning:0.17, Insurance & Healthcare:0.15",0.09165232083234322
18/09/2025,-11.04,sq *bottega gelateria     prospect,sq  bottega gelateria     prospect,Dining & Food,Dining & Food,0.14640786,"Groceries:0.15, Dining & Food:0.14, Home & Hardware:0.13",0.05238141979684179
18/09/2025,-16.5,zambrero sa pty ltd       adelaide,zambrero sa pty ltd       adelaide,Dining & Food,Utilities & Bills,0.30900946,"Utilities & Bills:0.31, Insurance & Healthcare:0.28, Groceries:0.25",0.05841943439811333
17/09/2025,-14.5,zambrero sa pty ltd       adelaide,zambrero sa pty ltd       adelaide,Dining & Food,Utilities & Bills,0.30900946,"Utilities & Bills:0.31, Insurance & Healthcare:0.28, Groceries:0.25",0.05841943439811333
17/09/2025,-44.8,aldi stores               kilburn,aldi stores               kilburn,Groceries,Groceries,0.50871944,"Groceries:0.51, Shopping & Retail:0.44, Travel & Accommodation:0.30",0.12078854842276031
17/09/2025,-21.52,super indian grocery      kilburn,super indian grocery      kilburn,Other,Groceries,0.4615872,"Groceries:0.46, Shopping & Retail:0.33, Dining & Food:0.31",0.0
17/09/2025,-3.6,brumbys north park        prospect,brumbys north park        prospect,Other,Groceries,0.2534067,"Home & Hardware:0.25, Groceries:0.24, Travel & Accommodation:0.21",0.0
17/09/2025,-70.0,basilico cafe             prospect,basilico cafe             prospect,Dining & Food,Dining & Food,0.40443644,"Dining & Food:0.40, Travel & Accommodation:0.26, Groceries:0.23",0.05207359343938347
16/09/2025,-57.59,mr cheese churchill       kilburn,mr cheese churchill       kilburn,Other,Groceries,0.11426942,"Dining & Food:0.11, Medical & Pharmacy:0.09, Groceries:0.09",0.0
16/09/2025,-36.34,coles 0471                prospect,coles 0471                prospect,Groceries,Groceries,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07",0.10988130386496864
15/09/2025,-55.0,reward program fee,reward program fee,Banking & Transfers,Banking & Transfers,0.25377077,"Donations & Charity:0.25, Banking & Transfers:0.24, Education & Learning:0.20",0.08845976928869735
15/09/2025,-94.0,annual fee,annual fee,Banking & Transfers,Banking & Transfers,0.34696138,"Banking & Transfers:0.35, Government & Fees:0.28, Education & Learning:0.23",0.11642177895025062
15/09/2025,-4.5,university of adelaide    adelaide,university of adelaide    adelaide,Other,Education & Learning,0.32369322,"Education & Learning:0.32, Medical & Pharmacy:0.20, Groceries:0.14",0.11392477277687171
15/09/2025,-29.9,lebara recharge           north sydney,lebara recharge           north sydney,Dining & Food,Utilities & Bills,0.22950971,"Groceries:0.23, Utilities & Bills:0.21, Travel & Accommodation:0.19",0.06151498740450249
15/09/2025,-19.09,sq *abang abang           adelaide,sq  abang abang           adelaide,Other,Groceries,0.16671744,"Government & Fees:0.17, Utilities & Bills:0.16, Groceries:0.16",0.0
15/09/2025,-66.95,woolworths/7 grassmere rd prospect,woolworths 7 grassmere rd prospect,Groceries,Groceries,0.33039558,"Groceries:0.33, Home & Hardware:0.24, Travel & Accommodation:0.19",0.11591209601751722
15/09/2025,-15.0,woolworths/7 grassmere rd prospect,woolworths 7 grassmere rd prospect,Groceries,Groceries,0.33039558,"Groceries:0.33, Home & Hardware:0.24, Travel & Accommodation:0.19",0.11591209601751722
15/09/2025,-110.0,ezi*premier tax & book    adelaide,ezi premier tax   book    adelaide,Other,Government & Fees,0.30649495,"Government & Fees:0.31, Insurance & Healthcare:0.28, Banking & Transfers:0.25",0.0767263662176633
15/09/2025,-16.0,dosai                     adelaide,dosai                     adelaide,Other,Groceries,0.1553854,"Groceries:0.16, Dining & Food:0.16, Government & Fees:0.15",0.0
15/09/2025,-49.96,sq *brota the parotta kad blair athol,sq  brota the parotta kad blair athol,Other,Groceries,0.13876593,"Transport & Travel:0.14, Insurance & Healthcare:0.14, Dining & Food:0.12",0.0
15/09/2025,-14.64,sq *lemongrass vietnamese prospect,sq  lemongrass vietnamese prospect,Other,Groceries,0.10785349,"Groceries:0.11, Travel & Accommodation:0.10, Donations & Charity:0.10",0.0
15/09/2025,-27.07,uber *eats help.uber.com  sydney,uber  eats help uber com  sydney,Transport & Travel,Dining & Food,0.43966806,"Transport & Travel:0.44, Travel & Accommodation:0.29, Groceries:0.28",0.13385658678843196
12/09/2025,-13.0,wilson parking adeobs     adelaide,wilson parking adeobs     adelaide,Transport & Travel,Transport & Travel,0.19602597,"Transport & Travel:0.20, Travel & Accommodation:0.15, Government & Fees:0.15",0.07641966596486093
12/09/2025,-13.0,wilson parking adeobs     adelaide,wilson parking adeobs     adelaide,Transport & Travel,Transport & Travel,0.19602597,"Transport & Travel:0.20, Travel & Accommodation:0.15, Government & Fees:0.15",0.07641966596486093
12/09/2025,-10.99,chemist warehouse         adelaide,chemist warehouse         adelaide,Other,Medical & Pharmacy,0.41972822,"Medical & Pharmacy:0.42, Shopping & Retail:0.41, Groceries:0.36",0.1126271528587991
11/09/2025,-15.15,target 5009               adelaide,target 5009               adelaide,Shopping & Retail,Shopping & Retail,0.30895582,"Shopping & Retail:0.31, Groceries:0.24, Insurance & Healthcare:0.17",0.07429576177564164
10/09/2025,-18.1,coles 0471                prospect,coles 0471                prospect,Groceries,Groceries,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07",0.10988130386496864
10/09/2025,-92.09,otr angle park            angle park,otr angle park            angle park,Other,Groceries,0.18499526,"Home & Hardware:0.18, Travel & Accommodation:0.15, Dining & Food:0.15",0.0
10/09/2025,-45.4,aldi stores               prospect,aldi stores               prospect,Groceries,Groceries,0.5039382,"Groceries:0.50, Shopping & Retail:0.46, Travel & Accommodation:0.32",0.13120765948231075
10/09/2025,-3.6,brumbys north park        prospect,brumbys north park        prospect,Other,Groceries,0.2534067,"Home & Hardware:0.25, Groceries:0.24, Travel & Accommodation:0.21",0.0
10/09/2025,-4.99,bp x con prospect 1239    prospect,bp x con prospect 1239    prospect,Auto & Fuel,Auto & Fuel,0.16493875,"Banking & Transfers:0.16, Insurance & Healthcare:0.14, Travel & Accommodation:0.12",0.08333400858067895
09/09/2025,-12.4,coles 0439                salisbury dns,coles 0439                salisbury dns,Groceries,Groceries,0.17300987,"Government & Fees:0.17, Utilities & Bills:0.14, Groceries:0.13",0.0732940398628907
09/09/2025,-23.0,adelaide airport limited  adeladie,adelaide airport limited  adeladie,Other,Groceries,0.23936434,"Transport & Travel:0.24, Travel & Accommodation:0.24, Government & Fees:0.17",0.0
09/09/2025,-3.25,best indian supermar      salisbury,best indian supermar      salisbury,Other,Groceries,0.123199165,"Groceries:0.12, Shopping & Retail:0.10, Insurance & Healthcare:0.06",0.0
08/09/2025,-20.0,bws liquor/john st        salisbury,bws liquor john st        salisbury,Other,Groceries,0.13626145,"Insurance & Healthcare:0.14, Auto & Fuel:0.12, Medical & Pharmacy:0.12",0.0
08/09/2025,-0.98,officeworks 0503 prosp    prospect,officeworks 0503 prosp    prospect,Shopping & Retail,Shopping & Retail,0.2514383,"Shopping & Retail:0.25, Home & Hardware:0.22, Insurance & Healthcare:0.15",0.054551728983711106
08/09/2025,-16.0,guzman y gomez green      greenacres,guzman y gomez green      greenacres,Other,Groceries,0.1255775,"Groceries:0.13, Insurance & Healthcare:0.12, Dining & Food:0.12",0.0
08/09/2025,-43.87,coles 0471                prospect,coles 0471                prospect,Groceries,Groceries,0.18234347,"Groceries:0.18, Travel & Accommodation:0.08, Banking & Transfers:0.07",0.10988130386496864
08/09/2025,-6.0,morphett vale laundret    osborne park,morphett vale laundret    osborne park,Shopping & Retail,Shopping & Retail,0.17086044,"Home & Hardware:0.17, Groceries:0.15, Travel & Accommodation:0.14",0.04862511614733081
08/09/2025,-59.39,uber *eats help.uber.com  sydney,uber  eats help uber com  sydney,Transport & Travel,Dining & Food,0.43966806,"Transport & Travel:0.44, Travel & Accommodation:0.29, Groceries:0.28",0.13385658678843196
